""	"logFC"	"P.Value"	"adj.P.Val"
"HOXD1"	-1.8175038149344	2.22060686326332e-05	0.00109686542443337
"SYNE1"	-1.99955111817985	2.23512901402884e-05	0.00109818283778506
"TOB2P1"	-1.72788264121256	2.24507502787513e-05	0.00109818283778506
"PTGFRN"	2.75544601594933	2.25189981507753e-05	0.00109818283778506
"MIR30A"	1.55388752389054	2.37357392768053e-05	0.00115263554150528
"FBLIM1"	1.50533372091467	2.38815075548217e-05	0.00115484147247245
"LIMCH1"	1.27973186293915	2.4062661986868e-05	0.0011587329573509
"KLHL29"	-1.31295508795229	2.4445598297789e-05	0.00117226829503856
"RBM24"	-1.2458224589477	2.46821406034839e-05	0.00117870023321782
"TMEM200B"	1.24805596860035	2.49315758590484e-05	0.00118569217587516
"RPS6KL1"	-2.19633286899332	2.52537549163813e-05	0.00119607187379684
"SPEG"	-1.19789946143596	2.54499190293073e-05	0.00120042261519794
"IGFBP7"	1.33935054681178	2.60024645450548e-05	0.00121313410426494
"DSC2"	-2.75487843695932	2.60034788147375e-05	0.00121313410426494
"PARD6G"	1.496654908801	2.61203298357302e-05	0.00121313410426494
"KAL1"	1.2481555071689	2.61410424761235e-05	0.00121313410426494
"KCNN2"	-3.31146739878411	2.64175057124871e-05	0.00121758539177369
"STAC"	1.18531097579352	2.64970441791703e-05	0.00121758539177369
"LRRC3"	2.09456079115398	2.65543429781212e-05	0.00121758539177369
"COL1A2"	4.59170434822151	2.75188098958953e-05	0.00125680152020579
"TCF4"	-3.37365220147367	2.76909642113552e-05	0.00125966524548809
"FAM175A"	1.13035533217274	2.79746613549746e-05	0.00126319517153005
"ITK"	-2.22772929375183	2.80547985365016e-05	0.00126319517153005
"WNT7B"	-1.13012610032874	2.82922968771544e-05	0.00126319517153005
"GPR160"	-1.21315140811491	2.83168192448664e-05	0.00126319517153005
"GRHL1"	-2.14150101649336	2.83173476631117e-05	0.00126319517153005
"TSPAN1"	-4.86126624729306	2.87131999679616e-05	0.00127590817927131
"RNASE1"	4.55633793327871	2.95381973840232e-05	0.00130751966804893
"GSTM3"	1.25953231408209	3.00288352804549e-05	0.00132414507755845
"ZNF521"	-5.33440365653632	3.01758322208181e-05	0.00132554829400533
"LOC284751"	-1.84803543356205	3.05963542408146e-05	0.00133457812217523
"PALLD"	1.17849972920341	3.06133134289914e-05	0.00133457812217523
"HNF1B"	-8.53317088706799	3.11163929465531e-05	0.00135062276577374
"ICOSLG"	1.7407605674122	3.12705089682952e-05	0.00135062276577374
"GOLM1"	1.11074245591769	3.15019117850145e-05	0.00135062276577374
"TAGLN"	-1.70639931246632	3.16223757233512e-05	0.00135062276577374
"PIK3CD"	-1.16994503872707	3.16474765361887e-05	0.00135062276577374
"TMEM139"	-1.45341511881733	3.16854763019297e-05	0.00135062276577374
"ABCC3"	1.21416254356362	3.19942002274841e-05	0.00135875000154286
"LMCD1"	-2.00583379862587	3.22042448243767e-05	0.00136264210913144
"IL11"	-2.46890412867359	3.24989767555309e-05	0.0013630322134124
"BIN1"	1.27218874252464	3.25747931715485e-05	0.0013630322134124
"RELN"	-3.85424582212886	3.2671304503304e-05	0.0013630322134124
"IFIT2"	-1.73576311104773	3.27676214627267e-05	0.0013630322134124
"ACCN2"	1.78608075678438	3.31774800712993e-05	0.0013630322134124
"B4GALT6"	-1.18422552079018	3.3221860266666e-05	0.0013630322134124
"NLRP2"	2.97157364945107	3.32898664363195e-05	0.0013630322134124
"XDH"	-1.59075778656287	3.33282584793422e-05	0.0013630322134124
"DYNC1I1"	-3.26781076059209	3.33937088184198e-05	0.0013630322134124
"MAOB"	2.84197024159868	3.34582507129084e-05	0.0013630322134124
"OPN3"	-1.83360104736029	3.38532501774238e-05	0.0013630322134124
"COL11A1"	-4.46503491276818	3.39937861492392e-05	0.0013630322134124
"GGT5"	-1.38381363962051	3.40772974240016e-05	0.0013630322134124
